,,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025
,Delayed Interaction (Internet Based),12,11,9,91.67%,75.00%,"5,745","5,227","4,378",90.98%,76.21%,"5,644","5,131","4,290",90.91%,76.01%,"5,576","5,071","4,246",90.94%,76.15%,"2,034","1,825","1,457",89.72%,71.63%
,Non Distance Education Methods,9,8,8,88.89%,88.89%,"4,566","4,159","3,643",91.09%,79.79%,"4,494","4,100","3,597",91.23%,80.04%,"4,144","3,791","3,335",91.48%,80.48%,"1,609","1,507","1,337",93.66%,83.10%
Merced Total,,408,332,231,81.37%,56.62%,"38,601","34,757","28,622",90.04%,74.15%,"38,187","34,419","28,385",90.13%,74.33%,"35,201","31,693","25,980",90.03%,73.80%,"12,925","11,884","10,119",91.95%,78.29%
,Delayed Interaction (Internet Based),130,98,60,75.38%,46.15%,"20,322","18,274","15,048",89.92%,74.05%,"20,186","18,170","14,982",90.01%,74.22%,"18,561","16,723","13,751",90.10%,74.09%,"6,829","6,186","5,118",90.58%,74.95%
,Non Distance Education Methods,278,234,171,84.17%,61.51%,"18,106","16,331","13,460",90.20%,74.34%,"17,828","16,097","13,289",90.29%,74.54%,"16,467","14,818","12,115",89.99%,73.57%,"6,000","5,612","4,938",93.53%,82.30%
,Simultaneous Interaction (Internet Based),,,,,,173,152,114,87.86%,65.90%,173,152,114,87.86%,65.90%,173,152,114,87.86%,65.90%,96,86,63,89.58%,65.63%
Merritt Total,,57,52,42,91.23%,73.68%,"11,353","9,659","8,346",85.08%,73.51%,"11,253","9,571","8,278",85.05%,73.56%,"10,406","8,844","7,647",84.99%,73.49%,"4,794","4,055","3,588",84.58%,74.84%
,Delayed Interaction (Internet Based),,,,,,"6,016","4,972","4,218",82.65%,70.11%,"5,973","4,936","4,192",82.64%,70.18%,"5,638","4,651","3,946",82.49%,69.99%,"2,348","1,914","1,660",81.52%,70.70%
,Non Distance Education Methods,57,52,42,91.23%,73.68%,"4,586","4,060","3,570",88.53%,77.85%,"4,529","4,008","3,528",88.50%,77.90%,"4,069","3,615","3,187",88.84%,78.32%,"1,943","1,734","1,569",89.24%,80.75%
,Simultaneous Interaction (Internet Based),,,,,,751,627,558,83.49%,74.30%,751,627,558,83.49%,74.30%,699,578,514,82.69%,73.53%,503,407,359,80.91%,71.37%
MiraCosta Total,,37,33,32,89.19%,86.49%,"33,401","29,494","25,342",88.30%,75.87%,"33,364","29,461","25,310",88.30%,75.86%,"32,806","28,945","24,845",88.23%,75.73%,"9,132","8,247","7,239",90.31%,79.27%
,Delayed Interaction (Internet Based),,,,,,"22,431","19,716","16,773",87.90%,74.78%,"22,431","19,716","16,773",87.90%,74.78%,"22,177","19,478","16,561",87.83%,74.68%,"6,634","5,987","5,220",90.25%,78.69%
,Non Distance Education Methods,16,15,15,93.75%,93.75%,"10,516","9,360","8,185",89.01%,77.83%,"10,500","9,345","8,170",89.00%,77.81%,"10,227","9,098","7,945",88.96%,77.69%,"2,359","2,127","1,890",90.17%,80.12%
,Simultaneous Interaction (Internet Based),21,18,17,85.71%,80.95%,454,418,384,92.07%,84.58%,433,400,367,92.38%,84.76%,402,369,339,91.79%,84.33%,139,133,129,95.68%,92.81%
Mission Total,,240,215,185,89.58%,77.08%,"15,922","14,058","11,884",88.29%,74.64%,"15,505","13,691","11,557",88.30%,74.54%,"14,999","13,218","11,127",88.13%,74.18%,"5,818","5,135","4,417",88.26%,75.92%
,Delayed Interaction (Internet Based),78,66,55,84.62%,70.51%,"7,629","6,656","5,532",87.25%,72.51%,"7,441","6,497","5,390",87.31%,72.44%,"7,269","6,341","5,251",87.23%,72.24%,"2,988","2,571","2,102",86.04%,70.35%
,Non Distance Education Methods,162,149,130,91.98%,80.25%,"8,293","7,402","6,352",89.26%,76.59%,"8,064","7,194","6,167",89.21%,76.48%,"7,730","6,877","5,876",88.97%,76.02%,"2,830","2,564","2,315",90.60%,81.80%
Modesto Total,,"1,200",989,778,82.42%,64.83%,"51,820","45,530","38,021",87.86%,73.37%,"50,620","44,541","37,243",87.99%,73.57%,"46,883","41,210","34,320",87.90%,73.20%,"15,196","13,536","11,576",89.08%,76.18%
,Delayed Interaction (Internet Based),23,18,14,78.26%,60.87%,"27,617","24,151","20,085",87.45%,72.73%,"27,594","24,133","20,071",87.46%,72.74%,"25,317","22,095","18,296",87.27%,72.27%,"8,554","7,478","6,289",87.42%,73.52%
,Non Distance Education Methods,"1,177",971,764,82.50%,64.91%,"23,564","20,861","17,563",88.53%,74.53%,"22,387","19,890","16,799",88.85%,75.04%,"20,927","18,597","15,651",88.87%,74.79%,"6,642","6,058","5,287",91.21%,79.60%
,Simultaneous Interaction (Internet Based),,,,,,639,518,373,81.06%,58.37%,639,518,373,81.06%,58.37%,639,518,373,81.06%,58.37%,,,,,
Monterey Total,,168,162,133,96.43%,79.17%,"17,347","15,828","13,127",91.24%,75.67%,"16,954","15,487","12,886",91.35%,76.01%,"15,044","13,647","11,179",90.71%,74.31%,"4,460","4,155","3,605",93.16%,80.83%
,Delayed Interaction (Internet Based),19,19,17,100.00%,89.47%,"6,833","6,181","4,952",90.46%,72.47%,"6,814","6,162","4,935",90.43%,72.42%,"6,276","5,663","4,487",90.23%,71.49%,"1,953","1,765","1,411",90.37%,72.25%
,Non Distance Education Methods,149,143,116,95.97%,77.85%,"10,022","9,218","7,819",91.98%,78.02%,"9,648","8,896","7,595",92.21%,78.72%,"8,276","7,555","6,336",91.29%,76.56%,"2,260","2,181","2,036",96.50%,90.09%
,Simultaneous Interaction (Internet Based),,,,,,492,429,356,87.20%,72.36%,492,429,356,87.20%,72.36%,492,429,356,87.20%,72.36%,247,209,158,84.62%,63.97%
Moorpark Total,,65,61,57,93.85%,87.69%,"39,356","35,808","31,403",90.98%,79.79%,"39,291","35,747","31,346",90.98%,79.78%,"27,779","25,043","21,755",90.15%,78.31%,"9,294","8,648","7,907",93.05%,85.08%
,Delayed Interaction (Internet Based),26,26,23,100.00%,88.46%,"25,805","23,525","20,479",91.16%,79.36%,"25,779","23,499","20,456",91.16%,79.35%,"17,806","16,106","13,921",90.45%,78.18%,"6,160","5,729","5,140",93.00%,83.44%
,Non Distance Education Methods,39,35,34,89.74%,87.18%,"13,439","12,180","10,831",90.63%,80.59%,"13,400","12,145","10,797",90.63%,80.57%,"9,866","8,839","7,746",89.59%,78.51%,"3,051","2,844","2,701",93.22%,88.53%
,Simultaneous Interaction (Internet Based),,,,,,112,103,93,91.96%,83.04%,112,103,93,91.96%,83.04%,107,98,88,91.59%,82.24%,83,75,66,90.36%,79.52%
Moreno Valley Total,,21,18,15,85.71%,71.43%,"26,614","24,043","18,847",90.34%,70.82%,"26,218","23,774","18,676",90.68%,71.23%,"23,715","21,313","16,374",89.87%,69.04%,"7,526","7,097","6,026",94.30%,80.07%
,Delayed Interaction (Internet Based),7,7,7,100.00%,100.00%,"14,234","12,877","9,785",90.47%,68.74%,"14,227","12,870","9,778",90.46%,68.73%,"14,064","12,716","9,659",90.42%,68.68%,"3,126","2,857","2,196",91.39%,70.25%
,Non Distance Education Methods,14,11,8,78.57%,57.14%,"12,380","11,166","9,062",90.19%,73.20%,"11,991","10,904","8,898",90.93%,74.21%,"9,651","8,597","6,715",89.08%,69.58%,"4,400","4,240","3,830",96.36%,87.05%
Mt San Antonio Total,,362,304,258,83.98%,71.27%,"82,357","71,281","60,283",86.55%,73.20%,"80,363","69,676","59,064",86.70%,73.50%,"75,617","65,403","55,207",86.49%,73.01%,"25,838","22,718","19,852",87.92%,76.83%
,Delayed Interaction (Internet Based),254,211,176,83.07%,69.29%,"34,478","28,875","24,216",83.75%,70.24%,"33,922","28,413","23,850",83.76%,70.31%,"32,531","27,263","22,832",83.81%,70.19%,"11,008","9,222","7,982",83.78%,72.51%
,Non Distance Education Methods,108,93,82,86.11%,75.93%,"47,879","42,406","36,067",88.57%,75.33%,"46,441","41,263","35,214",88.85%,75.83%,"43,086","38,140","32,375",88.52%,75.14%,"14,830","13,496","11,870",91.00%,80.04%
Mt. San Jacinto Total,,53,49,44,92.45%,83.02%,"50,697","46,420","39,021",91.56%,76.97%,"50,644","46,371","38,977",91.56%,76.96%,"49,320","45,173","37,985",91.59%,77.02%,"11,010","10,169","8,648",92.36%,78.55%
,Delayed Interaction (Internet Based),,,,,,820,750,625,91.46%,76.22%,820,750,625,91.46%,76.22%,820,750,625,91.46%,76.22%,224,207,176,92.41%,78.57%
,Non Distance Education Methods,53,49,44,92.45%,83.02%,"49,877","45,670","38,396",91.57%,76.98%,"49,824","45,621","38,352",91.56%,76.97%,"48,500","44,423","37,360",91.59%,77.03%,"10,786","9,962","8,472",92.36%,78.55%
Napa Total,,13,13,5,100.00%,38.46%,"12,901","11,986","9,693",92.91%,75.13%,"12,660","11,762","9,534",92.91%,75.31%,"12,324","11,477","9,340",93.13%,75.79%,"3,095","2,902","2,405",93.76%,77.71%
,Delayed Interaction (Internet Based),4,4,1,100.00%,25.00%,"6,160","5,661","4,509",91.90%,73.20%,"6,150","5,651","4,503",91.89%,73.22%,"6,005","5,532","4,439",92.12%,73.92%,"1,435","1,317","1,057",91.78%,73.66%
,Non Distance Education Methods,9,9,4,100.00%,44.44%,"6,253","5,871","4,842",93.89%,77.43%,"6,050","5,684","4,710",93.95%,77.85%,"5,859","5,518","4,580",94.18%,78.17%,"1,389","1,334","1,152",96.04%,82.94%
,Simultaneous Interaction (Internet Based),,,,,,488,454,342,93.03%,70.08%,460,427,321,92.83%,69.78%,460,427,321,92.83%,69.78%,271,251,196,92.62%,72.32%
Norco College Total,,31,24,20,77.42%,64.52%,"24,478","21,839","17,784",89.22%,72.65%,"23,636","21,117","17,206",89.34%,72.80%,"23,471","20,969","17,077",89.34%,72.76%,"5,155","4,675","3,876",90.69%,75.19%
,Delayed Interaction (Internet Based),17,14,14,82.35%,82.35%,"14,645","13,020","10,534",88.90%,71.93%,"14,407","12,815","10,400",88.95%,72.19%,"14,379","12,794","10,387",88.98%,72.24%,"3,554","3,196","2,607",89.93%,73.35%
,Non Distance Education Methods,14,10,6,71.43%,42.86%,"9,833","8,819","7,250",89.69%,73.73%,"9,229","8,302","6,806",89.96%,73.75%,"9,092","8,175","6,690",89.91%,73.58%,"1,601","1,479","1,269",92.38%,79.26%
Ohlone Total,,179,165,141,92.18%,78.77%,"23,736","21,639","19,128",91.17%,80.59%,"23,200","21,133","18,678",91.09%,80.51%,"22,391","20,339","18,008",90.84%,80.43%,"5,819","5,435","4,793",93.40%,82.37%
,Delayed Interaction (Internet Based),13,13,12,100.00%,92.31%,"12,092","11,017","9,593",91.11%,79.33%,"11,989","10,919","9,502",91.08%,79.26%,"11,458","10,398","9,102",90.75%,79.44%,"3,631","3,363","2,924",92.62%,80.53%
,Non Distance Education Methods,166,152,129,91.57%,77.71%,"11,644","10,622","9,535",91.22%,81.89%,"11,211","10,214","9,176",91.11%,81.85%,"10,933","9,941","8,906",90.93%,81.46%,"2,188","2,072","1,869",94.70%,85.42%
Orange Coast Total,,748,590,421,78.88%,56.28%,"49,677","43,924","37,225",88.42%,74.93%,"48,187","42,613","36,104",88.43%,74.92%,"48,162","42,593","36,092",88.44%,74.94%,"15,626","14,239","12,589",91.12%,80.56%
,Delayed Interaction (Internet Based),,,,,,"11,273","10,210","8,569",90.57%,76.01%,"11,251","10,189","8,551",90.56%,76.00%,"11,226","10,169","8,539",90.58%,76.06%,"3,574","3,178","2,675",88.92%,74.85%
,Non Distance Education Methods,748,590,421,78.88%,56.28%,"36,780","32,268","27,356",87.73%,74.38%,"35,338","31,002","26,277",87.73%,74.36%,"35,338","31,002","26,277",87.73%,74.36%,"11,112","10,205","9,134",91.84%,82.20%
,Simultaneous Interaction (Internet Based),,,,,,"1,624","1,446","1,300",89.04%,80.05%,"1,598","1,422","1,276",88.99%,79.85%,"1,598","1,422","1,276",88.99%,79.85%,940,856,780,91.06%,82.98%
Oxnard Total,,56,52,42,92.86%,75.00%,"17,671","15,982","13,390",90.44%,75.77%,"17,272","15,631","13,124",90.50%,75.98%,"13,417","12,062","10,007",89.90%,74.58%,"4,646","4,330","3,852",93.20%,82.91%
,Delayed Interaction (Internet Based),56,52,42,92.86%,75.00%,"9,898","8,810","7,223",89.01%,72.97%,"9,786","8,706","7,149",88.96%,73.05%,"7,617","6,749","5,517",88.60%,72.43%,"1,598","1,457","1,258",91.18%,78.72%
,Non Distance Education Methods,,,,,,"7,178","6,630","5,659",92.37%,78.84%,"6,891","6,383","5,467",92.63%,79.34%,"5,350","4,904","4,104",91.66%,76.71%,"2,589","2,461","2,206",95.06%,85.21%
,Simultaneous Interaction (Internet Based),,,,,,595,542,508,91.09%,85.38%,595,542,508,91.09%,85.38%,450,409,386,90.89%,85.78%,459,412,388,89.76%,84.53%
Palo Verde Total,,9,9,9,100.00%,100.00%,"10,279","9,830","8,707",95.63%,84.71%,"10,233","9,784","8,661",95.61%,84.64%,"10,070","9,623","8,529",95.56%,84.70%,"6,064","5,964","5,571",98.35%,91.87%
,Delayed Interaction (Internet Based),,,,,,942,826,615,87.69%,65.29%,942,826,615,87.69%,65.29%,942,826,615,87.69%,65.29%,238,222,155,93.28%,65.13%
,Non Distance Education Methods,9,9,9,100.00%,100.00%,"5,112","5,028","4,830",98.36%,94.48%,"5,066","4,982","4,784",98.34%,94.43%,"4,903","4,821","4,652",98.33%,94.88%,"4,519","4,498","4,395",99.54%,97.26%
,"Text one-way (e.g. newspaper, correspondence, etc.)",,,,,,"4,185","3,942","3,234",94.19%,77.28%,"4,185","3,942","3,234",94.19%,77.28%,"4,185","3,942","3,234",94.19%,77.28%,"1,294","1,232","1,011",95.21%,78.13%
,Two-way interactive video and audio,,,,,,40,34,28,85.00%,70.00%,40,34,28,85.00%,70.00%,40,34,28,85.00%,70.00%,13,12,10,92.31%,76.92%
Palomar Total,,33,25,23,75.76%,69.70%,"49,935","46,782","37,595",93.69%,75.29%,"49,879","46,734","37,549",93.69%,75.28%,"47,614","44,507","35,468",93.47%,74.49%,"18,249","17,303","14,748",94.82%,80.82%
,Delayed Interaction (Internet Based),13,12,12,92.31%,92.31%,"21,990","20,398","16,070",92.76%,73.08%,"21,977","20,386","16,058",92.76%,73.07%,"21,748","20,173","15,885",92.76%,73.04%,"7,634","7,081","5,683",92.76%,74.44%
,Non Distance Education Methods,10,7,6,70.00%,60.00%,"27,537","26,019","21,231",94.49%,77.10%,"27,504","25,989","21,202",94.49%,77.09%,"25,468","23,975","19,294",94.14%,75.76%,"10,512","10,124","8,979",96.31%,85.42%
,Simultaneous Interaction (Internet Based),10,6,5,60.00%,50.00%,408,365,294,89.46%,72.06%,398,359,289,90.20%,72.61%,398,359,289,90.20%,72.61%,103,98,86,95.15%,83.50%
Pasadena Total,,123,111,93,90.24%,75.61%,"71,886","62,760","54,390",87.30%,75.66%,"70,822","61,833","53,586",87.31%,75.66%,"62,764","54,767","47,266",87.26%,75.31%,"15,699","13,861","12,514",88.29%,79.71%
,Delayed Interaction (Internet Based),52,50,44,96.15%,84.62%,"30,237","26,037","22,496",86.11%,74.40%,"29,621","25,499","22,014",86.08%,74.32%,"25,875","22,309","19,218",86.22%,74.27%,"8,295","7,151","6,384",86.21%,76.96%
,Non Distance Education Methods,71,61,49,85.92%,69.01%,"41,649","36,723","31,894",88.17%,76.58%,"41,201","36,334","31,572",88.19%,76.63%,"36,889","32,458","28,048",87.99%,76.03%,"7,404","6,710","6,130",90.63%,82.79%
Porterville Total,,372,319,213,85.75%,57.26%,"13,407","12,137","9,915",90.53%,73.95%,"13,002","11,789","9,676",90.67%,74.42%,"12,531","11,374","9,317",90.77%,74.35%,"2,776","2,556","2,204",92.07%,79.39%
,Delayed Interaction (Internet Based),128,108,64,84.38%,50.00%,"7,155","6,479","5,284",90.55%,73.85%,"7,008","6,354","5,206",90.67%,74.29%,"6,824","6,186","5,062",90.65%,74.18%,"1,446","1,324","1,091",91.56%,75.45%
,Non Distance Education Methods,244,211,149,86.48%,61.07%,"6,064","5,483","4,510",90.42%,74.37%,"5,806","5,260","4,349",90.60%,74.91%,"5,519","5,013","4,134",90.83%,74.90%,"1,330","1,232","1,113",92.63%,83.68%
,Simultaneous Interaction (Internet Based),,,,,,188,175,121,93.09%,64.36%,188,175,121,93.09%,64.36%,188,175,121,93.09%,64.36%,,,,,
Redwoods Total,,,,,,,"13,605","12,521","10,360",92.03%,76.15%,"13,595","12,513","10,353",92.04%,76.15%,"12,864","11,808","9,742",91.79%,75.73%,"3,690","3,454","2,956",93.60%,80.11%
,Delayed Interaction (Internet Based),,,,,,"5,299","4,742","3,827",89.49%,72.22%,"5,299","4,742","3,827",89.49%,72.22%,"5,193","4,644","3,754",89.43%,72.29%,"1,354","1,240","1,003",91.58%,74.08%
,Non Distance Education Methods,,,,,,"7,922","7,426","6,242",93.74%,78.79%,"7,912","7,418","6,235",93.76%,78.80%,"7,287","6,811","5,697",93.47%,78.18%,"2,331","2,210","1,950",94.81%,83.66%
,Simultaneous Interaction (Internet Based),,,,,,56,46,38,82.14%,67.86%,56,46,38,82.14%,67.86%,56,46,38,82.14%,67.86%,,,,,
,"Text one-way (e.g. newspaper, correspondence, etc.)",,,,,,323,303,250,93.81%,77.40%,323,303,250,93.81%,77.40%,323,303,250,93.81%,77.40%,,,,,
,Two-way interactive video and audio,,,,,,5,4,3,80.00%,60.00%,5,4,3,80.00%,60.00%,5,4,3,80.00%,60.00%,5,4,3,80.00%,60.00%
Reedley College Total,,186,179,150,96.24%,80.65%,"21,770","20,752","17,117",95.32%,78.63%,"21,331","20,328","16,775",95.30%,78.64%,"20,920","19,917","16,379",95.21%,78.29%,"6,220","5,989","5,122",96.29%,82.35%
,Delayed Interaction (Internet Based),57,56,48,98.25%,84.21%,"8,937","8,411","6,785",94.11%,75.92%,"8,757","8,237","6,647",94.06%,75.90%,"8,737","8,217","6,629",94.05%,75.87%,"2,264","2,132","1,701",94.17%,75.13%
,Non Distance Education Methods,129,123,102,95.35%,79.07%,"12,833","12,341","10,332",96.17%,80.51%,"12,574","12,091","10,128",96.16%,80.55%,"12,183","11,700","9,750",96.04%,80.03%,"3,956","3,857","3,421",97.50%,86.48%
Rio Hondo Total,,,,,,,"38,989","33,576","27,403",86.12%,70.28%,"35,406","30,137","24,116",85.12%,68.11%,"31,969","26,786","20,878",83.79%,65.31%,"16,054","14,747","13,174",91.86%,82.06%
,Delayed Interaction (Internet Based),,,,,,"15,424","12,497","9,465",81.02%,61.37%,"15,424","12,497","9,465",81.02%,61.37%,"15,322","12,413","9,408",81.01%,61.40%,"4,776","3,941","3,080",82.52%,64.49%
,Non Distance Education Methods,,,,,,"23,565","21,079","17,938",89.45%,76.12%,"19,982","17,640","14,651",88.28%,73.32%,"16,647","14,373","11,470",86.34%,68.90%,"11,278","10,806","10,094",95.81%,89.50%
Riverside Total,,19,18,18,94.74%,94.74%,"55,936","49,579","38,126",88.64%,68.16%,"53,797","47,685","36,698",88.64%,68.22%,"51,136","45,144","34,438",88.28%,67.35%,"14,601","13,250","10,604",90.75%,72.63%
,Delayed Interaction (Internet Based),,,,,,"23,320","20,585","15,542",88.27%,66.65%,"23,320","20,585","15,542",88.27%,66.65%,"22,818","20,128","15,157",88.21%,66.43%,"5,885","5,101","3,874",86.68%,65.83%
,Non Distance Education Methods,19,18,18,94.74%,94.74%,"32,616","28,994","22,584",88.90%,69.24%,"30,477","27,100","21,156",88.92%,69.42%,"28,318","25,016","19,281",88.34%,68.09%,"8,716","8,149","6,730",93.49%,77.21%
Sacramento City Total,,"1,132",984,857,86.93%,75.71%,"49,271","42,612","36,305",86.48%,73.68%,"48,029","41,531","35,374",86.47%,73.65%,"43,481","37,643","31,998",86.57%,73.59%,"13,752","12,090","10,772",87.91%,78.33%
,Delayed Interaction (Internet Based),340,314,275,92.35%,80.88%,"29,629","25,714","22,090",86.79%,74.56%,"29,265","25,376","21,791",86.71%,74.46%,"26,885","23,369","20,030",86.92%,74.50%,"9,390","8,149","7,257",86.78%,77.28%
,Non Distance Education Methods,742,621,537,83.69%,72.37%,"18,438","15,829","13,310",85.85%,72.19%,"17,610","15,135","12,723",85.95%,72.25%,"15,678","13,471","11,299",85.92%,72.07%,"4,131","3,725","3,307",90.17%,80.05%
,Simultaneous Interaction (Internet Based),50,49,45,98.00%,90.00%,"1,204","1,069",905,88.79%,75.17%,"1,154","1,020",860,88.39%,74.52%,918,803,669,87.47%,72.88%,231,216,208,93.51%,90.04%
Saddleback Total,,235,219,186,93.19%,79.15%,"50,350","46,033","39,041",91.43%,77.54%,"50,115","45,814","38,855",91.42%,77.53%,"47,689","43,668","37,036",91.57%,77.66%,"15,443","14,272","12,336",92.42%,79.88%
,Delayed Interaction (Internet Based),57,55,43,96.49%,75.44%,"30,874","28,154","23,593",91.19%,76.42%,"30,817","28,099","23,550",91.18%,76.42%,"29,749","27,152","22,747",91.27%,76.46%,"10,438","9,523","8,070",91.23%,77.31%
,Non Distance Education Methods,170,159,138,93.53%,81.18%,"18,652","17,131","14,805",91.85%,79.37%,"18,482","16,972","14,667",91.83%,79.36%,"17,225","15,861","13,729",92.08%,79.70%,"4,455","4,252","3,848",95.44%,86.37%
,Simultaneous Interaction (Internet Based),8,5,5,62.50%,62.50%,824,748,643,90.78%,78.03%,816,743,638,91.05%,78.19%,715,655,560,91.61%,78.32%,550,497,418,90.36%,76.00%
San Bernardino Total,,24,24,23,100.00%,95.83%,"38,134","34,789","27,745",91.23%,72.76%,"38,067","34,730","27,698",91.23%,72.76%,"33,896","30,916","24,387",91.21%,71.95%,"11,651","10,633","8,874",91.26%,76.17%
,Delayed Interaction (Internet Based),,,,,,"21,102","19,234","15,082",91.15%,71.47%,"21,087","19,221","15,070",91.15%,71.47%,"19,425","17,737","13,848",91.31%,71.29%,"6,049","5,487","4,345",90.71%,71.83%
,Non Distance Education Methods,24,24,23,100.00%,95.83%,"17,032","15,555","12,663",91.33%,74.35%,"16,980","15,509","12,628",91.34%,74.37%,"14,471","13,179","10,539",91.07%,72.83%,"5,602","5,146","4,529",91.86%,80.85%
San Diego City Total,,"1,371","1,200",917,87.53%,66.89%,"29,538","26,432","21,524",89.48%,72.87%,"28,167","25,232","20,607",89.58%,73.16%,"27,673","24,748","20,149",89.43%,72.81%,"8,177","7,485","6,445",91.54%,78.82%
,Delayed Interaction (Internet Based),227,196,150,86.34%,66.08%,"11,228","9,985","8,175",88.93%,72.81%,"11,001","9,789","8,025",88.98%,72.95%,"10,960","9,751","7,992",88.97%,72.92%,"3,948","3,543","2,984",89.74%,75.58%
,Non Distance Education Methods,"1,116",980,746,87.81%,66.85%,"17,597","15,815","12,912",89.87%,73.38%,"16,481","14,835","12,166",90.01%,73.82%,"16,050","14,410","11,762",89.78%,73.28%,"4,008","3,736","3,274",93.21%,81.69%
,Simultaneous Interaction (Internet Based),28,24,21,85.71%,75.00%,713,632,437,88.64%,61.29%,685,608,416,88.76%,60.73%,663,587,395,88.54%,59.58%,221,206,187,93.21%,84.62%
San Diego Mesa Total,,922,779,605,84.49%,65.62%,"50,725","45,710","38,401",90.11%,75.70%,"49,699","44,831","37,718",90.21%,75.89%,"48,943","44,129","37,061",90.16%,75.72%,"11,900","10,842","9,333",91.11%,78.43%
,Delayed Interaction (Internet Based),201,182,140,90.55%,69.65%,"20,191","18,203","15,067",90.15%,74.62%,"19,940","17,973","14,898",90.14%,74.71%,"19,721","17,774","14,723",90.13%,74.66%,"6,284","5,649","4,673",89.89%,74.36%
,Non Distance Education Methods,721,597,465,82.80%,64.49%,"29,324","26,470","22,467",90.27%,76.62%,"28,549","25,821","21,953",90.44%,76.90%,"28,012","25,318","21,471",90.38%,76.65%,"5,191","4,807","4,322",92.60%,83.26%
,Simultaneous Interaction (Internet Based),,,,,,"1,210","1,037",867,85.70%,71.65%,"1,210","1,037",867,85.70%,71.65%,"1,210","1,037",867,85.70%,71.65%,425,386,338,90.82%,79.53%
San Diego Miramar Total,,585,520,416,88.89%,71.11%,"29,961","27,606","23,914",92.14%,79.82%,"28,524","26,234","22,646",91.97%,79.39%,"27,430","25,143","21,560",91.66%,78.60%,"11,250","10,497","9,475",93.31%,84.22%
,Delayed Interaction (Internet Based),24,22,15,91.67%,62.50%,"11,016","10,024","8,453",90.99%,76.73%,"10,992","10,002","8,438",90.99%,76.76%,"10,992","10,002","8,438",90.99%,76.76%,"4,043","3,644","3,102",90.13%,76.73%
,Non Distance Education Methods,561,498,401,88.77%,71.48%,"18,178","16,879","14,833",92.85%,81.60%,"16,765","15,529","13,580",92.63%,81.00%,"15,671","14,438","12,494",92.13%,79.73%,"6,699","6,396","5,951",95.48%,88.83%
,Simultaneous Interaction (Internet Based),,,,,,767,703,628,91.66%,81.88%,767,703,628,91.66%,81.88%,767,703,628,91.66%,81.88%,508,457,422,89.96%,83.07%
San Francisco Total,,150,121,104,80.67%,69.33%,"47,584","42,146","36,306",88.57%,76.30%,"45,782","40,657","35,190",88.81%,76.86%,"45,748","40,625","35,164",88.80%,76.86%,"16,790","15,207","13,649",90.57%,81.29%
,Delayed Interaction (Internet Based),17,16,15,94.12%,88.24%,"20,276","17,617","15,167",86.89%,74.80%,"19,706","17,163","14,825",87.10%,75.23%,"19,672","17,131","14,799",87.08%,75.23%,"6,432","5,711","5,036",88.79%,78.30%
,Non Distance Education Methods,133,105,89,78.95%,66.92%,"27,308","24,529","21,139",89.82%,77.41%,"26,076","23,494","20,365",90.10%,78.10%,"26,076","23,494","20,365",90.10%,78.10%,"10,358","9,496","8,613",91.68%,83.15%
San Joaquin Delta Total,,249,232,170,93.17%,68.27%,"61,431","58,145","45,711",94.65%,74.41%,"60,594","57,342","45,000",94.63%,74.26%,"58,384","55,200","43,199",94.55%,73.99%,"18,427","17,597","14,255",95.50%,77.36%
,Delayed Interaction (Internet Based),138,127,82,92.03%,59.42%,"40,438","38,362","29,686",94.87%,73.41%,"40,085","38,031","29,411",94.88%,73.37%,"39,040","37,029","28,612",94.85%,73.29%,"12,027","11,425","8,981",94.99%,74.67%
,Non Distance Education Methods,111,105,88,94.59%,79.28%,"20,993","19,783","16,025",94.24%,76.33%,"20,509","19,311","15,589",94.16%,76.01%,"19,344","18,171","14,587",93.94%,75.41%,"6,400","6,172","5,274",96.44%,82.41%
San Jose City Total,,279,249,207,89.25%,74.19%,"18,499","16,320","13,429",88.22%,72.59%,"17,668","15,635","12,910",88.49%,73.07%,"16,571","14,602","12,043",88.12%,72.68%,"5,451","4,979","4,143",91.34%,76.00%
,Delayed Interaction (Internet Based),,,,,,"5,950","5,185","4,178",87.14%,70.22%,"5,882","5,131","4,139",87.23%,70.37%,"5,629","4,897","4,005",87.00%,71.15%,"1,581","1,413","1,080",89.37%,68.31%
,Non Distance Education Methods,179,165,139,92.18%,77.65%,"10,199","9,013","7,478",88.37%,73.32%,"9,536","8,466","7,066",88.78%,74.10%,"8,748","7,716","6,370",88.20%,72.82%,"2,617","2,425","2,071",92.66%,79.14%
,Simultaneous Interaction (Internet Based),48,36,31,75.00%,64.58%,959,873,750,91.03%,78.21%,911,837,719,91.88%,78.92%,883,810,695,91.73%,78.71%,708,661,572,93.36%,80.79%
,"Text one-way (e.g. newspaper, correspondence, etc.)",52,48,37,92.31%,71.15%,"1,391","1,249","1,023",89.79%,73.54%,"1,339","1,201",986,89.69%,73.64%,"1,311","1,179",973,89.93%,74.22%,545,480,420,88.07%,77.06%
